City,Graduation Date,Work Experience 1,Work Experience 2,Work Experience 3,Skills,Athletics,Awards/Certifications,Extracurriculars 1,Extracurriculars 2,Volunteer Work,Member Groups
New York City,20-May,"BUSINESS ANALYST-INTERN
HALOGEN-BNA,LLC -  Charlotte, NC
October 2019 to December 2019
• Sized of the music-industry through the perspective of venture capital  
• Researched financial models of potential companies to invest in the music industry  
• Conducted a competitive landscape analysis of companies that invest in music catalogs  
• Reviewed reports with supervisor and produced memos targeted to the firm's strategic needs  
  
Obs.: Work was done in partnership with my technology & entrepreneurship professor, Dr. Raciti, and his friend Kevin Daley. The purpose of this internship was to provide a clear visualization of how a small startup works. Halogen is a small company with just 4 employees and focuses on investing in the music sector.","ASSISTANT ENGINEER
HOSPITAL DO RIM E HIPERTENSÃO -  Sao Paulo, SP - Brazil
November 2014 to May 2015
- Reviewed existing performance data and developed methods to minimize operational costs at a hospital specialized in diagnosing and treating kidney and heart conditions  
- Introduced eco-friendly alternatives to improve waste disposal, energy and water consumption, and equipment upkeep.","MANAGEMENT APPRENTICE
GRUPO VR -  Barueri, SP - Brazil
August 2010 to August 2011
- Executed various roles within four different departments (Information Security, Business Intelligence, Finance, and Supply Chain) within a firm that provided employee benefits packages to local companies  
- Provided tech assistance and analyzed digital performance measures-Attended weekly meetings with the department heads to contribute new ideas and evaluate ongoing projects  
- Undertook general administrative duties, i.e. preparing monthly financial statements and record-keeping-Built SQL queries to gather relevant information from a relational database  
- Managed supplier relations by coordinating just-in-time shipments and tracking quality","Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Microsoft Publisher, Adobe, Ableton Live, Google AdWords, Google Analytics",,"Member of the National Society of Leadership & Success
September 2017 to Present
Driver's License
December 2010 to December 2023
Dean's List
August 2019 to Present",,,,
New York City,19-May,"Designer / Space Planner
United States General Services Administration (GSA)  -  New York, NY
October 2019 to Present
• Provide space planning services within the parameters of GSA policies and public sector architectural and design standards, including building codes and Green Initiatives.  
• Administer GSA policies to ensure efficient use of space, coordinates space reduction and expansions in an effort to deliver a quality work environment for client agencies.  
• Utilize conceptual layouts and sketches, working drawings, construction specifications, construction schedules, building finishes, as it relates to the field of design and construction of commercial facilities.  
• Perform a variety of planning phase tasks such as interpreting the needs of clients, monitor and/or develop a program documents, and review code, criteria, and standards applicable to the project.  
• Perform a variety of design phase tasks such as working with scopes of work, conceptual drawings, building specifications, working drawings, design review sessions.  
• Implement the use of Computer Aided Design and Drafting (CADD) and Building Information Modeling (BIM) for new construction, modernization, and repair and alteration projects. Provide drawings, furniture layouts using Computer Aided Design software (All drawing related work products will be prepared using AutoCAD or Revit).  
• Provide technical design service on space planning and design issues and assists in the coordination with other building systems.   
• Oversee and review material and finish selections as prepared by design firms under contract to GSA.","Architectural Assistant
DCM Architecture and Engineering -  New York, NY
June 2017 to Present
Drawing and sketching design solutions, developing schemes using 2D and 3D computer CAD. Working with the project manager and senior architects, producing reports, producing/maintaining other documents using programs such as Word, Excel, PowerPoint, MS Project, researching products, materials, buildings, work with the finance department to assess the financial requirements of a project, meeting vendors and placing orders for materials and equipment for the projects. Undertaking all job activities in line with Health and Safety guidance and requirements.","Tech Specialist
Staples -  New York, NY
October 2016 to November 2017
Responsible for maintaining an Inspired Selling culture in the Mobile and Technology department. Committed to offering every customer a total solution for his/her mobile and technology needs ensuring the Mobile and Technology department achieves key metrics, including profitable sales.Champions Mobile and Technology selling programs both in-store online; Exhibits Staples Selling behaviors in all interactions and communications with customers, associates and management. Achieve all sales goals and stay current on new technologies, products and services","Accounting, Leadership skills, Problem-solving, Accounts Payable, Bookkeeping, Excel, Quickbooks, Time Management, Strategic thinker, Technical abilities",,Driver's License,,,,
New York City,20-Jun,"Recruiting Coordinator
National Debt Relief -  New York, NY
September 2019 to January 2020
* Assisted high-volume class- hire recruiters by sending out interview and training reminders through email and phone, making offer calls, booking rooms, uploading candidate's interview packets and entering candidate's information in to the building's tenant system  
* Greeted over 400 candidates to conduct candidate assessments which is resulted in a candidate quality increase  
* Implemented organization within the recruiting team's SharePoint which made it easier to locate important shareable documents  
* Represented and facilitated over 5 school career fairs and gave ideas resulting in a more strategic approach for future career fairs  
* Collaborated on a resume filing project that helped create organization for resumes and confidential documents dating back 7+ years  
* Managed the data migration of over 10,000 resumes and interview packets from Jobvite to Greenhouse and ran audits for quality assurance","HRIS Administrative Assistant
National Debt Relief -  New York, NY
October 2018 to September 2019
* Managed ADP administrative functions by processing new hire onboarding forms, scanning, extracting and uploading various confidential employee and Human Resources related documents  
* Ran audits and reports to ensure compliance and all electronic documents are uploaded to ADP/Cloud properly  
* Collaborate with other HR Assistants and HR Administrators to ensure all HR needs are met such as ADP Cloud tasks and other inquiries  
* Granted trust with the HR managers to support the confidentiality and service of the HR inbox  
* Created Standard of Procedures (SOP) for ADP Cloud uploading and trained other employees on the ADP system  
* Assisted Workforce Management with phone queue stats reports in Excel resulting in accurate reports for the manager to forecast workforce strategies  
* Managed the payroll process for agency employees through Solomon Page Group's (SPG) payroll system  
* Utilized Jobvite, Indeed Recruiter and LinkedIn Recruiter for high-volume staffing needs  
* Assisted the Recruiting team, sourced over 500 candidates resumes for customer service representatives to fill training classes including 20-30 perspective employees  
* Determined which candidates had qualifying resumes to conduct preliminary phone screens  
* Communicated job descriptions, benefits and company culture to potential candidates  
* Conducted In-person interviews to determine whether the candidate is the right fit to pass along to the hiring manager resulting in over 40 new hires  
* Collaborated with other recruiters and hiring managers on the customer service team to meet bi-weekly recruiting deadlines  
  
InMobi through Premier Talent Partners New York, NY","Office Manager
InMobi -  New York, NY
May 2018 to June 2018
* Managed setting up meetings, interviews and appointments by using google calendar and Empire's state building visitor's system  
* Attended to the needs of employees in a 15-person office by picking up daily breakfast and lunch orders  
* Ordered weekly inventory from Fresh Direct and Amazon such as snacks, drinks and office supplies to accommodate employees and guests  
* Maintained cleanliness in office common areas, pantry and conference room resulting in a suitable and safe workplace","Proficient in Microsoft Office Suite, financial modeling, and CapIQ research",,,,,,
New York City,20-Jun,"International Customer Service Agent
World Courier -  New Hyde Park, NY
April 2019 to Present
• Providing a first in class customer service experience to customers.  
• Shipment order creation & processing.  
• Following and reviewing customer specific handling procedures.  
• Routing time & temperature sensitive shipments on the next reliable flights.  
• Developing a temperature control strategy on a shipment to shipment basis.  
• Communicating expectations and status updates to customers.  
• Tracking and tracing shipments using various computer applications.  
• Price quoting.  
• Complying with policies, procedures, safety rules and regulations  
• Working together as a team with all departments and offices.  
• Handling calls, shipments, and inquiries for various departments to maintain 24x7x365 business continuity.  
• Monitoring and handle the shared email inboxes associated with these departments.","Personal Banker
CITI BANK -  Lake Success, NY
October 2017 to April 2019
• Partner with Business Bankers, Certified Financial Planners and external Mortgage Loan Officers to generate substantial revenue for the branch on a monthly basis.  
• Proactively met with customers in person and by phone to discover their financial needs and provide personalized product and service recommendations such as checking, savings, credit cards, and certificate of deposit.  
• Identifying & uncovering consumer and business client's lending needs and provide best solutions i.e. Mortgages, Home Equity Lines, Lines of Credit, Personal Loans.  
• Consistently provide excellent customers service by excelling in NPS scoring for platform side on a monthly basis.  
• Acquired, retained and deepened customer relationships by following up with customers systematically in two days, two weeks and two months after account opening.  
• Utilizing available promotions and incentives to motivate teller team and customers to send qualified referrals to increase banker book of business net value as well as retain existing book customers overall funds.","Customer Service Agent
DISH -  Flushing, NY
October 2016 to October 2017
• Acquired, retained and deepened customer relationships.  
• Providing Excellent Customer Service - responding to client inquiries via telephone.  
• Most customer satisfaction rating for four consecutive months in the east coast for 2017.  
• Trained new hire employees regarding product knowledge and how to demonstrate Curiosity, Pride, Achieving and Winning attitude.","Proficient in Microsoft Office Suite, Salesforce, Facebook Ad Manager, Twitter, Pinterest, Simmons, Mintel, Nielsen Ad Intel",,,,,,
New York City,19-Jun,"Accounts Receivable Associate
Real Data Management -  New York, NY
April 2019 to June 2019
• Collected outstanding balances through calling clients resulting in highest revenue for a non-billing month  
• Maintained a report of aging receivable with forecasting and notes to meet weekly receivable targets  
• Assisted in monthly/quarterly closing by ensuring all appropriate data is entered in QuickBooks  
• Created pivot charts reflecting outstanding balances of 600+ clients to report to Account Management  
• Reviewed and updated current aging report for discrepancies and finance charges to increase efficiency","Peer Mentor
Baruch College -  New York, NY
August 2018 to May 2019
• Instructed 2 separate freshmen seminars classes, covering topics to ensure freshmen success  
• Prepared 14-week lesson plan facilitating group discussions, hands on activities, and lectures","Internship Assistant
Weissman Center for International Business, Baruch College -  New York, NY
January 2018 to April 2019
• Generated over 400 new company contacts for potential internship placements through LinkedIn and Indeed  
• Processed over 500 student applications and update resumes for the domestic and abroad internship programs  
• Maintained the student databases and update students files using excel for domestic and work abroad databases  
• Assisted the Associate Director with planning and facilitating professional workshops with logistics
Infor -  New York, NY
February 2018 to August 2018
• Practiced sought-after technology consulting skills to help organizations use technology to achieve results  
• Gained hands-on experience using ERP software and learn about common business process through case studies","Accounting, Leadership skills, Problem-solving, Accounts Payable, Bookkeeping, Excel, Quickbooks, Time Management, Strategic thinker, Technical abilities",,,,,"Team Captain
Bloomberg Trading Challenge -  New York, NY
March 2017 to April 2017
Created 30th highest investment portfolio out of 226 teams using notional $10 million in eight weeks",
New York City,19-Dec,"EXPANDED SCHOOLS FELLOW
Jonas Bronc Academy -  Bronx, NY
September 2019 to Present
• Conduct after-school activities that reinforced and expanded on what students learned during the school day.  
• Provide quality educational arts programs to promote access and equity for New York City students underserved in the arts  
• Using an inquiry-based STEM curriculum that teaches students thinking and reasoning skills needed for success.  
• Teaching students how to solve problems systematically to creating skills, optimism, and attitudes important for their futures.  
• Conducting students’ friendly experiment in the classroom while enforcing safety regulations.","Student Teacher - STUDENT TEACHER
P.S. 97 -  Bronx, NY
September 2019 to December 2019
• Collaborated with cooperative teacher to ensure students learning.  
• Worked with individuals and small groups in different subject matters.  
• Created own unit and lesson plans for social studies while using the common core standards.  
• Used a variety of assessment tools, including research and theories, in order to improve learning.  
• Demonstrated a belief that all children can learn, meaningfully and appropriately including all students in classroom activities.  
• Provided individualized support to help students meet such standards, including teaching in ways that are both culturally responsible and responsive.  
• Interacted with students from diverse backgrounds who have diverse needs and interests.  
• Conducted one-on-one meetings with students to set specific goals for children's expectation to learn and used available data to monitor progress toward achieving their goals and monitored students' progress.  
• Use of technology to enhance instructions and educational goals.  
• Collected evidence, data, and other artifacts for electronic portfolios to demonstrate mastery of standards for teaching and enact these standards through teaching, planning, assessment, and reflection.  
• Reinforced lessons with students through one-on-one and in small groups.  
• Created recordkeeping spreadsheets for assessments and calculating grades.","SUMMER QUEST LEADER
Fordham University -  Bronx, NY
June 2019 to August 2019
• Developed and instructed several dynamic workshops throughout five consecutive weeks in Bollywood dance.  
• Developed and implemented age appropriate project-based activity in preparation for final showcase performance.  
• Managed student behavior and act as a positive role model.","Socialize, Fast Learner, Keeping Customers Happy, Cashiering, Customer Service, Cash Handling, Management Experience, Microsoft Office Suite, Adobe Premiere Pro, Adobe Photoshop, Filemaker, Google Suite",,"Educating All Students (EAS)
Present
Child Abuse Identification
Present
Foundation in Health and Safety
Present
Violence Prevention
Present
CPR
July 2019 to June 2022",,,,
New York City,20-Mar,"Summer Associate
Transaction Management -  New York, NY
June 2019 to August 2019
Handled commercial and industrial properties in many aspects: procurement, renewal, termination, subleasing, consolidation, and disposition.  
Examined extensive leasing documents, for national and international properties to generate lease abstracts. Analyzed and delivered multi-market:  
lease comps, market comps, market surveys, property history, average rents, and lease types offered from the landlord. Obtained contact information  
of property owners to inquire about: availability, general terms, costs, and consideration of long term lease or sale. Procured selections of site  
availabilities, created site survey reports, presented site survey findings and toured sites with clients. Attained many new connections to commercial  
and industrial property owners, establishing new relationships between company and owner. Overall, displayed the ability to remain calm under pressure, resolve layered communication conflicts, and handle complicated situations through being innovative in planning detailed solution  
strategies.","Manager, Events
Batali & Bastianich Group, La Sirena -  New York, NY
2016 to 2019
Batali & Bastianich Michelin star restaurant for two consecutive years from open. I helped open the banquet department and had extreme success.  
The Banquet department produced significant profit, in comparison to the revenue produced from the restaurants main dinning department. I  
continuously created extensive training materials, and insured standards of service were always beyond exceptional. Directed all procedures of events  
and event function needs. Events ranged from: corporate meetings to social gatherings. I was in charge of supervising and directing staff for proper  
timing in regard to execution of the event, not excluding communicating any food concerns and timing needs directly with kitchen, as well as implementing needed allergy menu changes. I directed event set up, breakdown and resets.","Intern
Public Relations & Event Production -  New York, NY
March 2014 to May 2014
Worked directly under CEO and Senior Event Producer, created & implemented presentation plans for company to present to future clients, Contacted  
web agencies on costs, timing and development in preparation to produce new company website, Closely studied market competitors - advantages and disadvantages, Developed multiple presentations on web agencies, company site logistics and market strategies, Lead assistant for event travel  
logistics, Worked with large budget for purchase orders of food and beverage items, Assisted managing $500,000 budget, Managed purchasing,  
arranging and planning last minute event details, such as: uniforms, Confirmed: dates, subjects, inquiries and more with vendors and clients, Developed an extensive digital handbook regarding inventory of uniforms in the warehouse, Participated in highly exclusive events with, decor,  
arrangements and client relations.","Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Microsoft Publisher, Adobe, Ableton Live, Google AdWords, Google Analytics",,,,,,
New York City,19-May,"Human Resources Intern
Plato Learning -  New York, NY
February 2019 to May 2019
• Performed general research and analysis on special Human Resources projects  
• Assisted in crafting new initiatives and plans pertaining to the organization strategical goals  
• Helped initiate staff moral programs, activities, and events along with handling logistics  
• Worked closely with the Director of Human Resources to ensure ongoing projects are in order","Lab Assistant
Computer Technology Desktop Management, Baruch College -  New York, NY
January 2018 to September 2018
• Assisted students in using software tools and applications such as (Word, Excel and PowerPoint)  
• Fulfilled students request and assigned them to appropriate computers in the lab  
• Provided high quality and informative customer service to diverse students  
• Monitored and supported the activities within the computer lab to ensure the proper use of equipment","Intern
New York City Council -  New York, NY
September 2017 to December 2017
• Assisted Director of Legislative Affairs with community project regarding affordable housing  
• Conducted research, data analysis and attended 3 council meetings and documented discussions  
• Assisted with administrative tasks such as phone calls and scheduling for the council member  
• Worked on ad hoc assignments as requested by supervisory and senior staff","Accounting, Leadership skills, Problem-solving, Accounts Payable, Bookkeeping, Excel, Quickbooks, Time Management, Strategic thinker, Technical abilities",,,,,,
New York City,19-May,"Manager of Facilities & A/V Operations Team
St. John's University Conference Services -  Queens, NY
May 2019 to Present
• Effectively managed and used systems to process, measure, and monitor the impact performance on Operations  
• Tasked with scheduling, training, and supervision of a team to coordinate meeting room set up and breakdown, and event support logistics  
• Increased department satisfaction rate through exceptional service to internal and external customers  
• Utilized Excel to analyze financial and operating expense reports","Team Leader of Facilities & A/V Operations Team
St. John's University Conference Services -  Queens, NY
April 2016 to May 2019
• Involved in top-level strategizing, forecasting and budgeting that assisted in allocating resources and planning performance  
• Quickly mastered software programs, with no prior knowledge, to create custom reports that monitored KPI's  
• Instructed an Intermediate MS Excel class in effort to advance the skills of employees",,"Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Microsoft Publisher, Adobe, Ableton Live, Google AdWords, Google Analytics",,,,,,
New York City,19-May,"Coordinator of Facilities & A/V Operations Team
St. John's University Conference Services -  Queens, NY
May 2019 to August 2019
• Responsible for the day to day facilities operations and Audio-Visual support for conference groups 
• Tasked with scheduling, training, and supervision of student staff, coordinating meeting room set up and breakdown, and event support logistics  
• Collaborated closely with colleagues in Facilities, Public Safety and Information Technology","Team Leader of Facilities & A/V Operations Team
St. John's University Conference Services -  Queens, NY
April 2016 to April 2019
• Provided administrative support to the Coordinator for managing staff budgets for vendor (American Maintenance)  
• Developed Excel spreadsheets for equipment delivery, labor of events, maintenance on equipment, and tracking of events  
• Assisted the Director in preparing reports, evaluating data and assembling documentations for weekly meetings","Business Projects
Economic Growth and Development
April 2018 to April 2018
Individual project, where I chose the country of Guyana to promote sustained, inclusive and sustainable economic growth, full and productive employment, and decent work for all.","Understanding of SQL, Basic Microsoft Access skills, Google AdWords and Analytics, Facebook Advertising, Adobe Creative Suite, FL Studio 20",,,,,,
New York City,19-Dec,"Front Office Supervisor
WYNDHAM GARDEN LONG ISLAND CITY MANHATTAN VIEW -  Long Island, NY
2012 to Present
Streamline internal operations of a fast-pace office, strive to increase productivity, and engage with guests to promote a positive experience. Centralize focus on enhancing customer satisfaction and retention.  
♦ Investigate complaints and proficiently develop effective solutions to address the issues.  
♦ Prioritize corporate goals and ensure that staff is aligned to meet competitive business objectives.  
♦ Oversee key project logistics and take on multiple projects simultaneously with no sacrifice to quality; serve as the first point-of-contact for questions regarding reservations and invoicing.  
♦ Maximize company exposure and strengthen brand development by contributing to the creation and launch of cutting-edge marketing campaigns and compelling advertising content.","Accounts Receivable / Revenue Specialist
SP PLUS CORPORATION -  New York, NY
2017 to 2017
Served as the driving force behind account management and sustaining strong and loyal client relationships. Supervised in-depth account reviews to identify any issues and execute corrections within a timely manner.  
♦ Reduced payment wait times by receiving and applying payments with reasonable turnaround.  
♦ Took charge over drafting and distributing invoices appropriately and verifying that billing dates and addresses are listed correctly; adjusted payments in the case of an error of over or underpayment.  
♦ Calculated the amount of taxes and updated accounts on a regular basis; exemplified an exceptional working knowledge in various accounting functions and proactively offered assistance to colleagues.  
♦ Conducted client consultations to identify needs and open the appropriate accounts; finalized account closings once full balances are paid.","Night Auditor
FOUR POINT BY SHERATON -  Long Island, NY
2011 to 2012
Integral in conducting comprehensive assessments and audits of financial information, internal operations, and general performance reviews to verify compliance with established regulations. Maintained open lines of communication with senior executives and kept them informed of auditing protocols. Worked closely with staff to ensure successful reviews and elicit the necessary information.  
♦ Reviewed daily practices and identified ways to improve accuracy and efficiency.  
♦ Extracted the necessary information to formulate balance reports; analyzed all credit transactions.  
♦ Determined productivity levels and data integrity prior to writing and submitting final audit results.","Adobe Photoshop Google Analytics, Adobe Illustrator Microsoft Excel, Adobe InDesign Videography, Adobe Premiere Pro Campaigns, Adobe Lightroom MailChimp, Canon EOS Rebel T5i Hubspot",,,"Highlights of Expertise  
• Balances & Account Management  
• Written & Oral Communication  
• Research & Documentation  
• Accounts Payable & Receivable  
• Reconciliations & Expense Reports  
  
• Deposits & Journal Entries  
• Cost-Reduction & Budgeting  
• Taxation & Auditing Functions  
• Team Collaboration  
• Profit & Loss Statements",,,
New York City,19-May,"Complex Securities Valuation Associate
Ernst & Young, LLP -  New York, NY
August 2019 to Present
• Used Monte Carlo simulations and binomial lattice models to value derivatives and other complex structured securities  
• Engaged senior team members to assist M&A deal process by value-added input amongst other divisions within EY TAS  
• Conducted due diligence of PPM and credit agreement documents to build bespoke valuation models for complicated  
convertible debt instruments, Pr Sus, TSR-linked instruments, alternative investment portfolios and more  
Selected transaction experience: Valuation of $300mm worth of complex investments acquired by private company  
o Performed specialist valuation services to support the sale of financial investments from one private investment  
firm to another","Business Analyst Intern
Calvion Capital Management LP -  New York, NY
January 2019 to May 2019
• Worked with C-suite members to help shape structure of first special situation fund launched in October 2018  
• Engaged in project-based research assignments that helped improve fund business operational efficiency","Cases in Corporate Finance, Teaching Fellow (Teaching Assistant)
Leonard N. Stern School of Business -  New York, NY
May 2018 to May 2019
May 2018 - May 2019  
• Reviewed financial concepts specific to the financial case curriculum with students in an academically rigorous setting  
• Graded homework, midterms and final exams whilst providing qualitative feedback on assignments based on nuanced  
and complicated capital structure and M&A assignments","Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Microsoft Publisher, Adobe, Ableton Live, Google AdWords, Google Analytics",,,,,,
New York City,19-May,"College Aide, Recruitment Assistant
Department of Buildings -  New York, NY
February 2018 to September 2019
• Manage calendar activities, meeting logistics, schedule appointments, interviews, exit interviews, and facilitate job fairs and orientations  
• Effectively facilitate and establish candidate assigned workstation and act as the immediate contact for candidates, managers, and other city agencies via email and phone, exhibiting clear and courteous communication  
• Manage, compile and review various recruitment databases for accuracy and implement strategies for key performance indicators to highlight accurate insights, gaining 80% recruitment workforce accuracy  
• Maximize team knowledge and productivity by effectively training, monitoring and directing employees in application of best practices and regulatory city agency protocols  
• Analyze and cross-reference multiple databases with secondary source, increasing accuracy by 75%  
• Utilize advanced Microsoft Excel skillset such as pivot tables, pivot charts, INDEX & MATCH, VLOOKUP, and other advanced formulas to create reports and dashboards describing recruitment statistics, metrics, workforce performance, retention rates, and overall operation","Office Assistant
New York University -  New York, NY
February 2017 to May 2019
• Greeted students and candidates, directed them to the correct staff member, and escorted candidates to his or her interview  
• Updated and maintained candidate's status and employment information on iCIMS  
• Engaged, supported and provided onboarding assistance and information to nearly 300 NYU students from different countries and diverse backgrounds in a busy environment  
• Created and updated presentations, documents, new hire paperwork, and orientation folders  
• Performed routine clerical tasks such as copying, filing, scanning, preparing I-9 documentation, and maintaining office supplies  
• Kept confidential files and digitized records organized for easy updating and retrieval by authorized team members","Intern
Arista Air Conditioning, Finance and Administration -  Long Island, NY
June 2017 to August 2017
• Analyzed and presented company financial and operational data to managers to inform and influence key decision making regarding company operation and growth opportunities leading to a 25% increase in company savings  
• Applied knowledge and advanced skill set in Microsoft Excel and Mathematics, including advanced functions and formulas, pivot tables, and complex financial and quantitative analysis to create ongoing business performance and management reports  
• Created and input large amounts of data containing equipment material listings, account payables, account receivables, and client's information  
• Maintained and updated databases of customers purchase, billings, and billing schedules; aligning costs with revenues","Adobe Photoshop Google Analytics, Adobe Illustrator Microsoft Excel, Adobe InDesign Videography, Adobe Premiere Pro Campaigns, Adobe Lightroom MailChimp, Canon EOS Rebel T5i Hubspot",,,,,,
New York City,20-May,"Assistant Budget Analyst - Work Study
VA NEW YORK HARBOR HEALTHCARE SYSTEM -  New York, NY
May 2018 to Present
• Help prepare monthly metrics reports, internal management reports, and external regulatory reports.  
• Matched internal monthly report data to external vendor input system and increased / decreased the budget accordingly based off the requirements for the fiscal year.  
• Aid in monitoring the execution of the district's budget to ensure that funds are obligated and spent in an effective manner, within the fiscal year, in support of authorized objectives.  
• Became very proficient in both VA hospital systems (FMS & Vista) in regards to inputting data and navigating through the system.  
• Combined all the program and department budgets together into a consolidated organizational budget using Excel Pivot Tables.","Assistant Bookkeeping Manager
LAMINATE FACTORY LLC -  Altamonte Springs, FL
August 2017 to January 2018
• Received payments, posted transactions and monitored accounts for past-due issues.  
• Reconciled accounts monthly and checked records for accuracy.  
• Efficiently operated Sage Peachtree Accounting program in reconciling receipts and transactions to ensure account balance  
matches outgoing cash flows.","Marketing Consultant
SOLARHOMES INC -  Orlando, FL
March 2017 to August 2017
Assisted marketing managers and directors in coming up with focused branding, positioning, and marketing tools for each  
product or service.  
• Met existing customers to review current services and ensured excellent customer service experience.  
• Handled all administrative aspects of the sale including: completing customer contracts, answering knowledgably on urgent  
inquiries, and ensuring relationships.","Accounting, Leadership skills, Problem-solving, Accounts Payable, Bookkeeping, Excel, Quickbooks, Time Management, Strategic thinker, Technical abilities",,,,,,"Branch: United States Navy
Rank: E-5"
New York City,19-Jun,"Porter/ Concierge
LCOR Residential -  Brooklyn, NY
August 2016 to Present
• Greet guests upon arrival and departure daily, as well as monitor all traffic in and out of the building.  
• Efficiently handle a variety of calls with superior phone etiquette and strong retention of details.  
• Respond to email communications from residents in an efficient and professional manner  
• Address residents' concerns and issues with accordance to company's customer service standards.  
• Maintain required records/ logs and delivered packages to the appropriate resident.  
• Maintain all common areas, by vacuuming carpets, mopping floors, cleaning bathrooms and disposing garbage and recycling  
of bottles and cardboards.","Concierge
First Service Residential -  Brooklyn, NY
April 2016 to Present
• Greeted guest and residents upon arrival and departure daily, monitor traffic entering the building.  
• Answered phones and maintained a clean and organized front desk and lobby.  
• Stored packages, dry cleaning etc. into building link, so that they are organized and ready for pick up.  
• Responded to emails from residents as well as staff member, addressed resident concerns and issues in accordance with the company's customer service","Stock Supervisor/ Logistics
The Gap Inc -  Brooklyn, NY
November 2013 to April 2016
• Supervised and train a staff of 24 associates daily, take in shipment, Specialize in organization of back rooms.  
• Ensured that marketing and promotion are to standards, perform visual tasks, set windows, and maintain a clean store.  
• Focused on heavy replenishment of all departments, process damage and defectives to prepare for shipping.  
• Performed daily opening procedures, payroll, Drive the business to see great results in our daily goals.  
• Delegated tasks to team, set up time frames to ensure that projects are completed at a timely manner.","Adobe Photoshop Google Analytics, Adobe Illustrator Microsoft Excel, Adobe InDesign Videography, Adobe Premiere Pro Campaigns, Adobe Lightroom MailChimp, Canon EOS Rebel T5i Hubspot",,,,,,
New York City,19-Dec,"Manager for Enterprise Development/Auditing Team
Budding Entrepreneurs -  Queens, NY
September 2019 to Present
- Conducting internal and external audits to monitor both team progress and success of our areas of influence  
- Developing articles regarding financial principles to share with loan applicants and help improve their operations  
- Establishing procedures for data collection to understand our impact and make informed business decisions","Event Coordinator
Self-Employed -  Brooklyn, NY
October 2018 to Present
- Organizing multimedia shows in New York City garnering average turnouts of 300-400 ticketed attendees  
- Acting as the main point of contact between venues and artist teams to negotiate logistics and financials  
- Promoting events on social media with over 100,000 impressions by commissioning flyers, producing videos, etc.","Design Intern
Tommy Hilfiger -  Manhattan, NY
June 2019 to December 2019
- Photographed and edited images for internals projects, such as product strategy presentations and design archives  
- Drafted sample pieces and prototypes through garment treatment and virtual design  
- Planned company presentations for upcoming fashion lines and/or seasons with Illustrator and Photoshop","Accounting, Leadership skills, Problem-solving, Accounts Payable, Bookkeeping, Excel, Quickbooks, Time Management, Strategic thinker, Technical abilities",,,,,,
New York City,19-May,"Assistant Stylist
A.L.C. -  New York, NY
June 2019 to Present
-Identify customer lifestyles, shopping habits, style preferences, and behaviors in order to recommend the best products   
-Manage consignments of products with clients, stylists, and publications  
-Build client relations ultimately increasing growth within the company  
-Analyze and curate events and branding opportunities to generate sales and attain new clients","Public Relations Intern
MICHELE MARIE PR -  New York, NY
January 2019 to Present
-Assisted the account executives with press releases, pitches, inventory, and media lists  
-Analyzed and monitored campaigns and communication channels used for clients  
-Created and curated engaging content  
-Learned the communication process and skills needed in a full-service PR agency through different projects and tasks","Event Coordinator
FIT COLLEGIATE DECA -  New York, NY
May 2018 to November 2018
Fashion Institute of Technology's Fall Business Competition                                                                          
-Directed planning/coordination of meetings with executive board to execute the business competition  
-Managed logistics including budgets, space requests, attaining proper paperwork and approvals  
-Maintained strong relationships and coordinated with industry professionals  
-Delegated and executed the “Business Competition”","Microsoft Office Suite, Mac, Sony Vegas, Adobe Photoshop, Adobe Illustrator, Adobe, Premiere, YouTube, WordPress, Squarespace, Customer Service, Studio Set Experience ",,,,,,"FIT Collegiate DECA- Chapter President
August 2016 to Present
DECA prepares emerging leaders and entrepreneurs for careers in marketing, finance, hospitality and management.  
Leadership roles: FIT Chapter President (2018-19), FIT Treasurer (2017-18), FIT Fundraising Chair (2016-17)  
Awards: Top 10 at the International Career and Development Conference (2018 and 2017)"
